#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server. This first one may take a while as it pulls many other dependencies first on clean installs."
,xorg-xinit,"starts the graphical server."
,polkit,"manages user policies."
,ttf-font-awesome,"provides extended glyph support."
,ueberzug,"enables previews in the lf file manager."
,arandr,"allows the user to customize monitor arrangements."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,ffmpegthumbnailer,"creates thumbnail previews of video files."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,python-qdarkstyle,"provides a dark Qt theme."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
A,librewolf-bin,"is the default browser of LARBS which also comes with ad-blocking and other sensible and necessary features by default."
A,arkenfox-user.js,"provides hardened security settings for Firefox and Librewolf to avoid Mozilla spyware and general web fingerprinting."
,noto-fonts,"is an expansive font package."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,wireplumber,"is the audio system."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pulsemixer,"is an audio controller."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
A,abook,"is an offline addressbook usable by neomutt."
,unclutter,"hides an inactive mouse."
,unzip,"unzips zips."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information and is used in the file browser."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool used for easy selection and location of files."
,bat,"can highlight code output and display files and is used to generate previews in the file browser."
,xorg-xbacklight,"enables changing screen brightness levels."
A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell."

,alacritty,"terminal of choice for use in BARBS."
,bspwn,"minimalist window manager."
,sxhkd,"simple X hotkey daemon for binding keyboard shortcuts with any Window Manager."
,feh,"set the background with feh."
A,yay,"yet another yogurt, an AUR helper written in GO."
,keepassxc,"secure, reliable and FOSS password manager."
,python-pywal,"set backgrounds and generate new color palettes based off the wallpaper."
,ranger,"simple terminal based file manager, extensible with configs and plugins."
,polybar,"a fast and easy to use tool for creating awesome status bars."
,rofi,"a window switcher, application launcher and dmenu replacement."
,rofi-emoji,"emoji, unicode and general character picker for rofi and rofi-likes."
,rofi-calc,"do live calculations in rofi."
,picom,"a lightweight compositor for X11."
,ttf-fira-code,"provides more cool Nerd Fonts"
,ttf-anonymous-pro,"provides the sans and serif fonts for LARBS."
,git,"version control for developers."
,virtualbox,"a type-2 hypervisor for x86 virtualization developer by Oracle Corporation."
,virtualbox-host-dkms,"package that provides host modules for  virtualbox running other kernels."
,w3m,"a text based web browser and pager"

